announcement,size,currentdate,time
DFCU BANK EXECUTIVE DIRECTOR RESIGNATION NOTICE.pdf,0.14MB,21-07-2023,03:40
Umeme Press Release June 2023 Final.pdf,0.17MB,21-08-2023,09:48
STANBIC HOLDCO NOTICE of annual genneral meeeting 2021.pdf,1.52MB,11-05-2021,01:58
ISIN-CFI-FISN (1).xlsx,0.02MB,14-09-2020,10:41
BATU UGANDA -APPOINTMENT OF NEW BOARD OF DIRECTORS.pdf,0.12MB,25-05-2022,03:48
UCL-PROFIT WARNING.pdf,0.36MB,05-04-2023,09:51
CiplaQCIL Financial Results Publication FY 2023.pdf,0.58MB,25-07-2023,12:55
Baroda Post AGM Notice.pdf,0.51MB,07-07-2023,04:06
EABL F21 Half-Year Results - Press Advert.pdf,0.66MB,12-02-2021,10:09
Uganda Clays Limited 2022 Financial Statement.pdf,9.49MB,18-04-2023,12:42
BAT Uganda - Announcement of Change of the Board of Directors.pdf,0.69MB,11-05-2022,09:42
Kenya Airways - Audited Financial Results FY Ended 31 Dec 2022.pdf,0.26MB,28-03-2023,09:52
Jubilee Holdings Resignation of Director Notice.pdf,0.43MB,25-07-2018,04:45
New Vision Group Profit Warning Announcement.pdf,0.41MB,21-07-2021,01:50
MTNU IPO PROSPECTUS.zip,23.39MB,11-10-2021,10:48
Nation Media Group Half Year Results 2018.pdf,1.58MB,20-08-2018,05:12
EQUITY STOCK BROKERS 2021 FINANCIALS.pdf,0.36MB,10-05-2022,09:12
DFCU Limited Half Year Results  2018.pdf,0.33MB,24-08-2018,02:49
Umeme AGM Notice.pdf,0.08MB,28-04-2023,09:33
BAT Uganda AGM Notice 2021.pdf,0.09MB,04-05-2021,10:32
DFCU 2021 FINANCIALS.pdf,0.45MB,31-03-2022,11:57
Bank of Baroda Uganda Limited -2022 Financial Results.pdf,0.52MB,26-04-2023,12:58
Equity Announcement.pdf,0.50MB,15-06-2023,09:16
NMG -Cautionary Announcement.JPG,0.07MB,02-03-2021,11:36
STANBIC HOLDINGS UGANDA LIMITED - AGM NOTICE 2022.pdf,0.11MB,16-05-2022,09:53
DFCU Announcement of Appointment of Director.pdf,0.78MB,25-10-2018,07:53
Cipla Prospectus.pdf,10.50MB,14-08-2018,10:35
CIPLA Annual Report.pdf,13.62MB,17-08-2020,08:52
CiplaQCIL AGM Notice 2023.pdf,0.50MB,02-08-2023,04:42
NEW VISION - NOTICE OF APPOINTMENT.pdf,1.29MB,05-04-2023,09:52
Kenya Airways Resolutions of the 42nd Annual General Meeting.pdf,0.28MB,26-07-2018,08:32
Bank of Baroda-Post EGM Notice.pdf,0.74MB,28-03-2023,09:54
"Kenya Airways- Issue, Allotment and listing of shares.pdf",0.41MB,24-09-2018,11:40
CENTUM INVESTMENT Co. Plc. - FINANCIAL RESULTS FOR THE SIX-MONTH PERIOD ENDED 30 SEPTEMBER 2021.pdf,0.10MB,30-11-2021,12:30
MTN Uganda Limited HY23 Earnings Release.pdf,0.49MB,04-08-2023,08:38
Kenya Airways Half Year Results 2018.pdf,1.85MB,29-08-2018,11:37
SHUL AGM NOTICE 2023.pdf,0.43MB,11-05-2023,08:49
BAT Uganda 2022 Financial Results.pdf,0.27MB,06-03-2023,08:59
EQUITY GROUP HOLDINGS PLC AND SUBSIDIARIES-AUDITED FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST DECEMBER 2021.pdf,1.14MB,22-03-2022,10:30
New Vision Financials for the year ended June 2020 Advert.pdf,0.75MB,08-10-2020,09:02
Stanbic Uganda Holdings Limited- Half Year Results 2023.pdf,3.41MB,18-08-2023,10:15
UCL Post AGM Notice.PDF,0.24MB,04-07-2023,09:12
Bank of Baroda (Uganda) Limited- AGM notice.pdf,0.64MB,24-06-2022,10:27
UCL Intergrated Report 2021.pdf,28.62MB,28-06-2022,09:53
New Vision Full Year Results 2017.pdf,0.71MB,22-10-2018,10:05
Umeme Ltd Notification of change in board of Directors August 2015.pdf,0.21MB,10-02-2016,01:52
DFCU Limited Post Annual General Meeting Resolutions.pdf,0.04MB,26-07-2018,08:32
NewVision-Profit Warning.pdf,0.42MB,12-02-2021,10:09
MTN Uganda Limited- News Advertorial.pdf,4.42MB,06-03-2023,10:05
Job Advert - Manager Legal & Compliance.pdf,0.80MB,20-04-2023,11:31
BAT Uganda Post AGM Announcement.pdf,0.63MB,16-06-2022,09:23
MTN Post AGM 2023.pdf,0.06MB,22-05-2023,10:20
LISTED COMPANIES (LOCAL ISSUERS) AGM TIMETABLE 2022.pdf,0.08MB,18-05-2022,09:48
Umeme FY 2020 Results.pdf,9.54MB,26-03-2021,11:39
CRESETED CAPITAL 2021 FINANCIALS.pdf,0.08MB,10-05-2022,09:12
BARODA 2021 FINANCIALS.pdf,0.50MB,29-04-2022,10:03
Letter - CMA - Notification of Appointment of Mr Angus Clarke as Director Kenya Airways.pdf,0.31MB,04-04-2022,05:38
EABL FY23 Press Ad.pdf,0.61MB,27-07-2023,06:56
New Vision Half Year December 2022 07.03.2023.pdf,0.47MB,13-03-2023,09:18
BATU2015AnnualReport.pdf,3.90MB,29-04-2016,05:12
Centum Results Fullyear 2023 FINAL.pdf,2.52MB,29-07-2023,07:43
NIC Post AGM Notice - 21st AGM.pdf,0.12MB,18-07-2022,03:04
KCB Announcement of Andrew Wambari Kairu as Non-Executive Director.pdf,2.62MB,02-08-2018,03:23
STANBIC UGANDA  FY2021 PUBLICATION Monitor (1).pdf,10.09MB,30-03-2022,10:06
DFCU Bank Pillar 3 Market Discipline Disclosures - June 2023.pdf,0.26MB,04-08-2023,03:26
CiplaQCi Cautionary Announcement (1).pdf,0.49MB,15-03-2023,09:55
CiplaQCI Cautionary Statement.pdf,0.45MB,05-05-2021,10:14
EQUITY GROUP HOLDINGS PLC 17TH AGM RESOLUTIONS (1).PDF,0.85MB,06-07-2021,11:37
CHANGE IN DIRECTORS NOTICE-DFCU.pdf,0.27MB,07-04-2022,05:41
EGH Plc - Financials December 2020.pdf,0.36MB,31-03-2021,09:40
BAT Uganda - Proposed amended Memorandum and Articles of Association.pdf,0.32MB,05-05-2021,09:21
DFCU 2022 FINANCIAL STATEMENTS.pdf,1.94MB,31-03-2023,10:44
UCL Financials Results Half Year 2023.pdf,0.11MB,07-09-2023,04:26
CIPLA Interim Results.pdf,0.56MB,16-11-2020,10:21
BAT Uganda - 2021 AGM Proxy Form.pdf,0.11MB,04-05-2021,03:21
NIC Bonus Issue  Notice.pdf,0.09MB,28-06-2022,10:30
Stanbic Uganda Holdings FY 2020 Financials.pdf,3.17MB,31-03-2021,09:43
IM final updated online version  02 Sept.pdf,5.92MB,04-09-2017,04:00
"EQUITY GROUP HOLDINGS PLC UNAUDITED FINANCIAL STATEMENTS FOR THE PERIOD ENDED 30th JUNE, 2023.pdf",0.22MB,15-08-2023,10:39
MTN UGANDA LIMITED PROXY FORM.pdf,0.08MB,06-05-2022,09:25
BOBU PROXY.pdf,0.23MB,24-06-2022,10:45
